avgDelay,avgThroughput,avgJitter
1.924215,0.099712,0.092691
2.556603,0.039718,0.019764
1.361472,0.021779,0.016705
1.332954,0.022215,0.013216
1.669276,0.025711,0.021944
0.702686,0.011808,0.005788
1.376544,0.022283,0.020052
1.385322,0.021902,0.028404
1.678337,0.027044,0.016225
1.666935,0.025711,0.015059
1.118720,0.018474,0.010067
1.055176,0.017141,0.008970
1.362886,0.022092,0.016184
1.624242,0.026282,0.017021
1.191340,0.019807,0.011096
1.244659,0.019426,0.010273
1.297017,0.020950,0.019530
1.648256,0.025711,0.014579
0.980222,0.015807,0.016774
1.402917,0.022092,0.016211
0.959904,0.015617,0.009546
1.434284,0.023616,0.013578
0.731567,0.011618,0.014579
1.268481,0.020759,0.012673
1.348113,0.021140,0.011425
1.199041,0.019617,0.011850
0.555940,0.008951,0.004759
0.963029,0.015617,0.009957
1.361171,0.021140,0.016294
0.677893,0.010094,0.006405
1.005026,0.015427,0.008188
0.959140,0.015807,0.010026
0.878825,0.014474,0.010382
1.260872,0.020950,0.011740
0.986929,0.015236,0.007228
1.389895,0.022473,0.013400
1.763569,0.028758,0.025661
1.044926,0.016760,0.010012
1.679290,0.025711,0.019626
1.130172,0.018664,0.011274
1.523716,0.024568,0.015841
1.486273,0.023235,0.012481
1.991342,0.030663,0.027965
0.971252,0.015617,0.017459
1.158055,0.017902,0.010561
1.004467,0.015617,0.015292
1.527756,0.024568,0.017062
1.679141,0.027615,0.021876
1.766913,0.028377,0.022452
1.516103,0.024759,0.018790
0.787219,0.013332,0.007324
1.138316,0.016950,0.009724
0.914650,0.014284,0.009299
0.989523,0.015998,0.016294
1.208183,0.019045,0.011027
0.639420,0.010284,0.005514
1.508291,0.025140,0.016115
1.186433,0.018664,0.012179
1.505787,0.025330,0.013167
1.075569,0.016950,0.009587
