avgDelay,avgThroughput,avgJitter
2.390431,0.100368,0.072863
1.662786,0.025901,0.013304
2.472498,0.040590,0.027184
0.920788,0.015498,0.010523
2.323991,0.038745,0.037309
2.465876,0.040959,0.027158
1.235383,0.020664,0.013074
2.654921,0.043173,0.040338
2.201655,0.035055,0.033137
2.354720,0.037638,0.039993
2.627445,0.041697,0.023225
3.085295,0.053505,0.035237
2.014080,0.033579,0.025516
2.504529,0.038745,0.027291
3.622720,0.058671,0.037442
2.640066,0.039852,0.049160
1.699575,0.027675,0.017246
1.681284,0.028044,0.015439
3.161964,0.050553,0.076717
1.002445,0.015129,0.007148
2.296947,0.038007,0.026998
2.061013,0.032103,0.031622
1.870042,0.030627,0.023730
2.847518,0.045018,0.030001
3.720599,0.069003,0.055989
2.934686,0.077121,0.056283
1.539359,0.025830,0.014987
2.001072,0.033579,0.022322
2.726697,0.042804,0.029177
2.858802,0.045756,0.023943
2.676306,0.042435,0.050037
2.624716,0.043173,0.025457
2.492912,0.041328,0.038261
2.395023,0.038376,0.019585
2.972055,0.048339,0.043022
2.692368,0.043173,0.028035
1.764473,0.028413,0.016422
1.216494,0.020664,0.014509
2.062960,0.033210,0.021338
2.184185,0.035055,0.022614
2.429660,0.038007,0.037548
2.273495,0.034686,0.023039
2.275691,0.035424,0.030240
2.343438,0.037269,0.024766
3.205204,0.057564,0.044935
2.610796,0.043173,0.025856
2.752113,0.041697,0.025776
2.249921,0.035055,0.019239
1.865492,0.030627,0.029470
1.685356,0.028044,0.019584
2.347795,0.036162,0.024315
2.257806,0.034317,0.022933
1.681604,0.028413,0.014668
1.888813,0.029889,0.031144
2.825513,0.045756,0.030161
1.758957,0.027675,0.029603
2.010570,0.033210,0.020382
2.302462,0.038376,0.025032
1.897484,0.029520,0.035263
2.305836,0.034317,0.036937
