avgDelay,avgThroughput,avgJitter
19.256176,0.113128,1.482850
0.077271,0.001333,0.000658
0.000000,0.000000,0.000000
0.077605,0.001333,0.000741
0.077083,0.001333,0.000658
0.086985,0.001333,0.002222
0.078793,0.001333,0.000576
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.077820,0.001333,0.000576
0.000000,0.000000,0.000000
0.078131,0.001333,0.000741
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.156521,0.002666,0.001481
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.077552,0.001333,0.000658
0.000000,0.000000,0.000000
0.077334,0.001333,0.000741
0.000000,0.000000,0.000000
0.079778,0.001333,0.000741
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.082281,0.001333,0.000658
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.162184,0.002666,0.001564
0.077064,0.001333,0.000658
0.000000,0.000000,0.000000
0.078353,0.001333,0.000658
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.079788,0.001333,0.000658
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.082494,0.001333,0.002057
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
