avgDelay,avgThroughput,avgJitter
1.810986,0.005711,0.132981
1.689846,0.008529,0.143451
1.608110,0.009679,0.163904
1.551541,0.009739,0.135222
1.525982,0.009861,0.145051
1.545404,0.010143,0.175311
1.576068,0.011899,0.185380
1.671045,0.012167,0.200651
1.724631,0.013044,0.212025
1.725294,0.011119,0.178912
1.688977,0.010318,0.170253
1.659428,0.008488,0.132754
1.714071,0.010639,0.198930
1.718874,0.011750,0.187645
1.749540,0.010476,0.191325
1.705051,0.010129,0.189967
1.659479,0.010921,0.178140
1.696254,0.010786,0.199665
1.691683,0.010479,0.221967
1.689507,0.010045,0.181499
1.674421,0.009860,0.170630
1.667396,0.010505,0.170442
1.662688,0.012092,0.190718
1.667449,0.011320,0.201177
1.670149,0.012369,0.189409
1.671121,0.011309,0.189766
1.680363,0.011180,0.198065
1.693139,0.010819,0.191001
1.705635,0.009968,0.197921
1.676267,0.009897,0.158239
1.637388,0.010809,0.184864
1.641761,0.009556,0.162214
1.642498,0.010967,0.186375
1.611725,0.010837,0.160271
1.624615,0.009830,0.194402
1.610235,0.008956,0.166649
1.608843,0.008496,0.150432
1.597297,0.008242,0.121634
1.592997,0.010263,0.158942
1.563253,0.009661,0.148336
1.563860,0.010211,0.158252
1.584238,0.010534,0.176020
1.568479,0.011265,0.171942
1.586361,0.010891,0.179075
1.586402,0.009942,0.197056
1.551374,0.009604,0.163988
1.550585,0.010221,0.175811
1.564595,0.012141,0.180322
1.569337,0.012150,0.192960
1.615683,0.010745,0.198975
1.660592,0.009559,0.176043
1.640431,0.010351,0.188214
1.566851,0.010589,0.168475
1.604062,0.011803,0.184594
1.622079,0.010865,0.184193
1.625026,0.011785,0.198069
1.605861,0.010276,0.173294
1.604724,0.010378,0.178845
1.615360,0.012218,0.193099
1.621276,0.007364,0.186537
