avgDelay,avgThroughput,avgJitter
10.365296,3.236362,0.436248
10.728908,3.201029,0.465228
10.283779,3.319299,0.426127
10.874724,3.160014,0.488300
11.008352,3.136706,0.498494
10.965234,3.149554,0.489012
10.863734,3.166850,0.477102
10.327337,3.281578,0.418693
10.855480,3.151695,0.471623
10.446689,3.270871,0.441352
10.919518,3.140824,0.494241
10.420222,3.283308,0.438678
10.752554,3.192217,0.462830
11.050568,3.132505,0.512231
10.666607,3.209677,0.465539
10.823865,3.175909,0.482550
11.063631,3.116857,0.510100
11.091810,3.102855,0.513009
10.930110,3.142718,0.500328
11.158417,3.082842,0.517407
10.821334,3.167508,0.479295
10.326783,3.298380,0.411164
10.860157,3.153013,0.482557
10.916156,3.149307,0.486085
11.153672,3.097584,0.524108
11.136317,3.111009,0.518567
10.891280,3.154907,0.490372
10.693097,3.196664,0.464457
10.818880,3.171791,0.480332
11.048067,3.117351,0.504292
10.922019,3.143706,0.494911
10.437418,3.276554,0.432998
10.541652,3.232738,0.444547
10.846506,3.161167,0.476232
11.029593,3.126328,0.500615
10.892127,3.161496,0.484276
10.443703,3.263211,0.435879
10.956590,3.143624,0.499942
11.104528,3.102114,0.515192
11.059351,3.124928,0.509664
10.939976,3.152354,0.502182
10.962360,3.145189,0.496058
10.665844,3.201029,0.447051
10.884261,3.153342,0.480912
11.229405,3.095937,0.531800
11.141628,3.106397,0.520735
10.793690,3.176815,0.475468
10.624719,3.207618,0.456482
10.808050,3.171791,0.483361
10.059376,3.386917,0.396078
11.108077,3.103597,0.514646
10.971525,3.137694,0.497821
11.166954,3.102361,0.522720
10.635765,3.226149,0.449208
10.466707,3.268894,0.442648
11.211701,3.087124,0.533767
10.596602,3.226643,0.449879
10.811802,3.172203,0.478788
10.531337,3.247892,0.446556
11.188467,1.911838,0.525145
