Report flow stats +1400.000000ms, Current measuring time +100.000000ms
	Flow 1 (14.0.0.5:2123 -> 14.0.0.6:2123) proto UDP
		Tx Packets: 30
		Tx Bytes:   4380
		TxOffered:  0.035040 Mbps
		Rx Packets: 0
		Rx Bytes:   0
		RxDuration: 0.000000 s
		Throughput: 0.000000 Mbps
		Mean delay: +0.000000ms 
		Last packet delay: +0.000000ms 
		Mean jitter: +0.000000ms
	Flow 2 (14.0.0.5:2152 -> 14.0.0.6:2152) proto UDP
		Tx Packets: 30
		Tx Bytes:   3720
		TxOffered:  0.029760 Mbps
		Rx Packets: 0
		Rx Bytes:   0
		RxDuration: 0.000000 s
		Throughput: 0.000000 Mbps
		Mean delay: +0.000000ms 
		Last packet delay: +0.000000ms 
		Mean jitter: +0.000000ms
	Flow 3 (10.0.2.2:49153 -> 7.0.0.2:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.671427ms 
		Last packet delay: +1.671427ms 
		Mean jitter: +0.000000ms
	Flow 4 (10.0.2.2:49154 -> 7.0.0.3:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.707141ms 
		Last packet delay: +1.707141ms 
		Mean jitter: +0.000000ms
	Flow 5 (10.0.2.2:49155 -> 7.0.0.4:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.742855ms 
		Last packet delay: +1.742855ms 
		Mean jitter: +0.000000ms
	Flow 6 (10.0.2.2:49156 -> 7.0.0.5:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.778569ms 
		Last packet delay: +1.778569ms 
		Mean jitter: +0.000000ms
	Flow 7 (10.0.2.2:49157 -> 7.0.0.6:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.814283ms 
		Last packet delay: +1.814283ms 
		Mean jitter: +0.000000ms
	Flow 8 (10.0.2.2:49158 -> 7.0.0.7:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.849997ms 
		Last packet delay: +1.849997ms 
		Mean jitter: +0.000000ms
	Flow 9 (10.0.2.2:49159 -> 7.0.0.8:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.885711ms 
		Last packet delay: +1.885711ms 
		Mean jitter: +0.000000ms
	Flow 10 (10.0.2.2:49160 -> 7.0.0.9:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.921425ms 
		Last packet delay: +1.921425ms 
		Mean jitter: +0.000000ms
	Flow 11 (10.0.2.2:49161 -> 7.0.0.10:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.957139ms 
		Last packet delay: +1.957139ms 
		Mean jitter: +0.000000ms
	Flow 12 (10.0.2.2:49162 -> 7.0.0.11:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.992853ms 
		Last packet delay: +1.992853ms 
		Mean jitter: +0.000000ms
	Flow 13 (10.0.2.2:49163 -> 7.0.0.12:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.671427ms 
		Last packet delay: +1.671427ms 
		Mean jitter: +0.000000ms
	Flow 14 (10.0.2.2:49164 -> 7.0.0.13:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.707141ms 
		Last packet delay: +1.707141ms 
		Mean jitter: +0.000000ms
	Flow 15 (10.0.2.2:49165 -> 7.0.0.14:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.742855ms 
		Last packet delay: +1.742855ms 
		Mean jitter: +0.000000ms
	Flow 16 (10.0.2.2:49166 -> 7.0.0.15:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.778569ms 
		Last packet delay: +1.778569ms 
		Mean jitter: +0.000000ms
	Flow 17 (10.0.2.2:49167 -> 7.0.0.16:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
		Mean delay: +1.814283ms 
		Last packet delay: +1.814283ms 
		Mean jitter: +0.000000ms
	Flow 18 (10.0.2.2:49168 -> 7.0.0.17:4000) proto TCP
		Tx Packets: 1
		Tx Bytes:   56
		TxOffered:  0.000448 Mbps
		Rx Packets: 1
		Rx Bytes:   56
		RxDuration: 1.000000 s
		Throughput: 0.000448 Mbps
